Tamanho Entrada (n),Força Bruta,Divisão e Conquista,Razão (FB/DC)
10,5.2765796059056334e-05,2.6640139128032485e-05,1.980687706076307
11,0.0,0.0,
12,0.0,0.0,
13,0.0,5.2627764250102794e-05,0.0
14,0.0,5.26528609426398e-05,0.0
15,0.0,0.0,
16,0.0,0.00010543120534796464,0.0
17,0.0,5.261521590383429e-05,0.0
18,0.00010501710992110403,0.0,inf
19,0.0,5.2828537790398846e-05,0.0
20,0.0,0.00010500456157483553,0.0
21,5.26528609426398e-05,0.0,inf
22,5.6279333014237254e-05,0.00010521788346140008,0.5348837209302325
23,5.2627764250102794e-05,5.260266755756579e-05,1.0004770992366412
24,0.00010525552850020559,0.0,inf
25,5.230150724712171e-05,5.3054408023231905e-05,0.9858088930936614
26,5.2665409288908305e-05,0.00010513004503752057,0.5009548818333731
27,5.2665409288908305e-05,0.0001578832927503084,0.33357176919408676
28,5.26528609426398e-05,0.00010521788346140008,0.500417412045319
29,0.0,5.260266755756579e-05,0.0
30,0.00010524298015393709,0.00010524298015393709,1.0
32,5.2665409288908305e-05,0.00010540610865542763,0.4996428571428571
33,0.00026308862786543995,0.0,inf
34,0.000263163917943051,0.0,inf
35,0.0001052806251927426,0.00015787074440403988,0.6668786265002782
36,0.00010523043180766858,0.00010577001069721423,0.9948985644797721
38,0.00015777035763389185,0.0001052931735390111,1.4983911333571682
39,0.00010520533511513157,0.0002105988954242907,0.49955311922779005
41,0.00021076202392578125,5.260266755756579e-05,4.0066793893129775
42,5.297911794562089e-05,0.0002105236053466797,0.25165405018775705
44,0.00010551904377184416,0.0002898040570710835,0.36410478458540807
45,0.0002636658517937911,5.26528609426398e-05,5.007626310772164
47,0.0002102349933825041,0.00021044831526906868,0.998986345477312
48,0.0001578958410965769,0.00021037302519145764,0.7505517447062333
50,0.0002105612503854852,0.00010523043180766858,2.0009539709038875
52,0.0004221263684724507,0.0,inf
54,0.000156477877968236,0.00031715945193642065,0.49337289812067253
56,0.0002623482754355983,0.00026349017494603207,0.9956662539289457
58,0.000263214111328125,0.0003690092187178762,0.7132995545278336
60,0.0005260266755756579,0.00015814680802194695,3.326192176465921
62,0.0006063737367328844,0.0,inf
64,0.0005624294281005859,0.0002637034968325966,2.132809897692125
67,0.00045475206877055923,0.00024132979543585526,1.8843594009983362
69,0.0006358247054250617,0.00018555239627235815,3.42665855143031
72,0.00047398868360017473,0.0003670391283537212,1.2913846153846154
