Tamanho Entrada (n),Força Bruta,Divisão e Conquista,Razão (FB/DC)
2144,0.54542202698557,0.016886221735100997,32.299826186210375
2221,0.5836768526779977,0.01704641392356471,34.24044818430294
2301,0.6349189030496698,0.020734548568725586,30.621303422411284
2383,0.72576652075115,0.01946459318462171,37.286498303214096
2469,0.6819186587082712,0.01786686244763826,38.16667088061737
2558,0.757473958166022,0.019473803670782792,38.897072753305295
2650,0.7579370423367149,0.018211502777902705,41.61858862390934
2745,0.8195798522547671,0.01927488728573448,42.52060414700042
2844,0.8389478106247751,0.018544109244095653,45.240663737563544
2946,0.901123046875,0.019645251725849352,45.86976331228662
3052,0.9776939969313773,0.019555932597110148,49.9947518266582
3162,1.076670621570788,0.023005184374357526,46.80121680619465
